
---------- Begin Simulation Statistics ----------
simSeconds                                   0.063845                       # Number of seconds simulated (Second)
simTicks                                  63845471235                       # Number of ticks simulated (Tick)
finalTick                                 63845471235                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    799.40                       # Real time elapsed on the host (Second)
hostTickRate                                 79866568                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     775224                       # Number of bytes of host memory used (Byte)
simInsts                                    430328306                       # Number of instructions simulated (Count)
simOps                                      430330093                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   538313                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     538315                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       172479170                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.700752                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.427037                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      261751544                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    8981                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     255776086                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                152642                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined            15625345                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined         11036014                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved               4695                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          172249950                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.484912                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.836370                       # Number of insts issued each cycle (Count)
system.cpu0.dcache.WriteReq.mshrHits::total      1981848                       # number of WriteReq MSHR hits (Count)
system.cpu0.dcache.WriteReq.mshrMisses::cpu0.data       316453                       # number of WriteReq MSHR misses (Count)
system.cpu0.dcache.WriteReq.mshrMisses::total       316453                       # number of WriteReq MSHR misses (Count)
system.cpu0.dcache.WriteReq.mshrMissLatency::cpu0.data  23333871740                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu0.dcache.WriteReq.mshrMissLatency::total  23333871740                       # number of WriteReq MSHR miss ticks (Tick)
system.cpu0.dcache.WriteReq.mshrMissRate::cpu0.data     0.015293                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu0.dcache.WriteReq.mshrMissRate::total     0.015293                       # mshr miss rate for WriteReq accesses (Ratio)
system.cpu0.dcache.WriteReq.avgMshrMissLatency::cpu0.data 73735.662926                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu0.dcache.WriteReq.avgMshrMissLatency::total 73735.662926                       # average WriteReq mshr miss latency ((Tick/Count))
system.cpu0.dcache.power_state.pwrStateResidencyTicks::UNDEFINED  63845471235                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu0.dcache.tags.tagsInUse         1023.043665                       # Average ticks per tags in use ((Tick/Count))
system.cpu0.dcache.tags.totalRefs            71677891                       # Total number of references to valid blocks. (Count)
system.cpu0.dcache.tags.sampledRefs           1766645                       # Sample count of references to valid blocks. (Count)
system.cpu0.dcache.tags.avgRefs             40.572889                       # Average number of references to valid blocks. ((Count/Count))
system.cpu0.dcache.tags.warmupTick             212058                       # The tick when the warmup percentage was hit. (Tick)
system.cpu0.dcache.tags.occupancies::cpu0.data  1023.043665                       # Average occupied blocks per tick, per requestor ((Count/Tick))
system.cpu0.dcache.tags.avgOccs::cpu0.data     0.999066                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu0.dcache.tags.avgOccs::total       0.999066                       # Average percentage of cache occupancy ((Ratio/Tick))
system.cpu0.dcache.tags.occupanciesTaskId::1024         1024                       # Occupied blocks per task id (Count)
system.cpu0.dcache.tags.ageTaskId_1024::0           72                       # Occupied blocks per task id, per block age (Count)
system.cpu0.dcache.tags.ageTaskId_1024::1          687                       # Occupied blocks per task id, per block age (Count)
system.cpu0.dcache.tags.ageTaskId_1024::2          265                       # Occupied blocks per task id, per block age (Count)
system.cpu0.dcache.tags.ratioOccsTaskId::1024            1                       # Ratio of occupied blocks and all blocks, per task id (Ratio)
system.cpu0.dcache.tags.tagAccesses         601349701                       # Number of tag accesses (Count)
system.cpu0.dcache.tags.dataAccesses        601349701                       # Number of data accesses (Count)
system.cpu0.dcache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  63845471235                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu0.decode.idleCycles                17182483                       # Number of cycles decode is idle (Cycle)
system.cpu0.decode.blockedCycles            115186723                       # Number of cycles decode is blocked (Cycle)
system.cpu0.decode.runCycles                 19481704                       # Number of cycles decode is running (Cycle)
system.cpu0.decode.unblockCycles             19747335                       # Number of cycles decode is unblocking (Cycle)
system.cpu0.decode.squashCycles                651705                       # Number of cycles decode is squashing (Cycle)
system.cpu0.decode.branchResolved            15554244                       # Number of times decode resolved a branch (Count)
system.cpu0.decode.branchMispred               289345                       # Number of times decode detected a branch misprediction (Count)
system.cpu0.decode.decodedInsts             268272399                       # Number of instructions handled by decode (Count)
system.cpu0.decode.squashedInsts               914099                       # Number of squashed instructions handled by decode (Count)
system.cpu0.dtb_walker_cache.blockedCycles::no_mshrs            0                       # number of cycles access was blocked (Cycle)
system.cpu0.dtb_walker_cache.blockedCycles::no_targets            0                       # number of cycles access was blocked (Cycle)
system.cpu0.dtb_walker_cache.blockedCauses::no_mshrs            0                       # number of times access was blocked (Count)
system.cpu0.dtb_walker_cache.blockedCauses::no_targets            0                       # number of times access was blocked (Count)
system.cpu0.dtb_walker_cache.avgBlocked::no_mshrs          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu0.dtb_walker_cache.avgBlocked::no_targets          nan                       # average number of cycles each access was blocked ((Cycle/Count))
system.cpu0.dtb_walker_cache.replacements            0                       # number of replacements (Count)
system.cpu0.dtb_walker_cache.power_state.pwrStateResidencyTicks::UNDEFINED  63845471235                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu0.dtb_walker_cache.tags.tagsInUse            0                       # Average ticks per tags in use ((Tick/Count))
system.cpu0.dtb_walker_cache.tags.totalRefs            0                       # Total number of references to valid blocks. (Count)
system.cpu0.dtb_walker_cache.tags.sampledRefs            0                       # Sample count of references to valid blocks. (Count)
system.cpu0.dtb_walker_cache.tags.avgRefs          nan                       # Average number of references to valid blocks. ((Count/Count))
system.cpu0.dtb_walker_cache.tags.warmupTick            0                       # The tick when the warmup percentage was hit. (Tick)
system.cpu0.dtb_walker_cache.tags.tagAccesses            0                       # Number of tag accesses (Count)
system.cpu0.dtb_walker_cache.tags.dataAccesses            0                       # Number of data accesses (Count)
system.cpu0.dtb_walker_cache.tags.power_state.pwrStateResidencyTicks::UNDEFINED  63845471235                       # Cumulative time (in ticks) in various power states (Tick)
system.cpu0.executeStats0.numInsts          254760919                       # Number of executed instructions (Count)
system.cpu0.executeStats0.numNop                    0                       # Number of nop insts executed (Count)
system.cpu0.executeStats0.numBranches        20733022                       # Number of branches executed (Count)
system.cpu0.executeStats0.numLoadInsts       56014107                       # Number of load instructions executed (Count)
system.cpu0.executeStats0.numStoreInsts      21135279                       # Number of stores executed (Count)
system.cpu0.executeStats0.instRate           1.477053                       # Inst execution rate ((Count/Cycle))
system.cpu0.executeStats0.numFpRegReads     180488006                       # Number of times the floating registers were read (Count)
system.cpu0.executeStats0.numFpRegWrites    117609611                       # Number of times the floating registers were written (Count)
system.cpu0.executeStats0.numIntRegReads    212121208                       # Number of times the integer registers were read (Count)
system.cpu0.executeStats0.numIntRegWrites     94598001                       # Number of times the integer registers were written (Count)
system.cpu0.executeStats0.numMemRefs         77149386                       # Number of memory refs (Count)
system.cpu0.executeStats0.numMiscRegReads    214669460                       # Number of times the Misc registers were read (Count)
system.cpu0.executeStats0.numMiscRegWrites    201109600                       # Number of times the Misc registers were written (Count)
system.cpu0.executeStats0.numVecAluAccesses            0                       # Number of vector alu accesses (Count)
system.cpu0.executeStats0.numDiscardedOps            0                       # Number of ops (including micro ops) which were discarded before commit (Count)
system.cpu0.fetch.predictedBranches          16793966                       # Number of branches that fetch has predicted taken (Count)
system.cpu0.fetch.cycles                    147263751                       # Number of cycles fetch has run and was not squashing or blocked (Cycle)
system.cpu0.fetch.squashCycles                1881120                       # Number of cycles fetch has spent squashing (Cycle)
system.cpu0.fetch.miscStallCycles                   7                       # Number of cycles fetch has spent waiting on interrupts, or bad addresses, or out of MSHRs (Cycle)
system.cpu0.fetch.icacheWaitRetryStallCycles          138                       # Number of stall cycles due to full MSHR (Cycle)
system.cpu0.fetch.cacheLines                 23667141                       # Number of cache lines fetched (Count)
system.cpu0.fetch.icacheSquashes               361598                       # Number of outstanding Icache misses that were squashed (Count)
system.cpu0.fetch.nisnDist::samples         172249950                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::mean             1.602642                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::stdev            2.823970                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::underflows              0      0.00%      0.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::0               119755701     69.52%     69.52% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::1                 6921563      4.02%     73.54% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::2                 4299094      2.50%     76.04% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::3                 5016040      2.91%     78.95% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::4                 4991212      2.90%     81.85% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::5                 4400850      2.55%     84.40% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::6                 4315900      2.51%     86.91% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::7                 2774098      1.61%     88.52% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::8                19775492     11.48%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::overflows               0      0.00%    100.00% # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::min_value               0                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::max_value               8                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetch.nisnDist::total           172249950                       # Number of instructions fetched each cycle (Total) (Count)
system.cpu0.fetchStats0.numInsts            276050037                       # Number of instructions fetched (thread level) (Count)
system.cpu0.fetchStats0.numOps                      0                       # Number of ops (including micro ops) fetched (thread level) (Count)
system.cpu0.fetchStats0.fetchRate            1.600483                       # Number of inst fetches per cycle ((Count/Cycle))
system.cpu0.fetchStats0.numBranches          24664577                       # Number of branches fetched (Count)
system.cpu0.fetchStats0.branchRate           0.143000                       # Number of branch fetches per cycle (Ratio)
system.cpu0.fetchStats0.icacheStallCycles     24045494                       # ICache total stall cycles (Cycle)
system.cpu0.fetchStats0.numFetchSuspends            0                       # Number of times Execute suspended instruction fetching (Count)
system.cpu0.icache.demandHits::cpu0.inst     23664466                       # number of demand (read+write) hits (Count)
system.cpu0.icache.demandHits::total         23664466                       # number of demand (read+write) hits (Count)
